tag,sentence,trigger,event_type
1068,"In a verdict handed down on Saturday, the judge also ordered Ranjha to pay a fine of 50,000 rupees (about 870 US dollars), they said.",fine,Fine
1069,Ranjha was accused of tearing down a billboard carrying verses from the Koran in Faisalabad during a Christian demonstration after the city's bishop committed suicide over the 1985 blasphemy law.,demonstration,Demonstrate
1070,"Faisalabad's Catholic Bishop John Joseph, who had been campaigning against the law, shot himself in the head outside a court in Sahiwal district when the judge convicted Christian Ayub Masih under the law in 1998.",shot,Die
1071,"Ayub Masih was charged in 1996 with blasphemy for allegedly defending British author Salman Rushdie, whose novel ""The Satanic Verses"" infuriated radical Mulsim clerics who accused the author of defaming Islam.",charged,Charge-Indict
1072,"The Pakistani supreme court last year aquitted Ayub Masih, who had denied uttering any word against Islam or the Prophet Mohammad.",aquitted,Acquit
1073,"Blasphemy is punishable by death under the Pakistan Penal Code. However, no blasphemy convict has ever been executed in the country.",death,Execute
1074,"Secretary of State Colin Powell said the offer was made during three-way talks between US, North Korean and Chinese diplomats last week in Beijing.",talks,Meet
1075,"At the same meeting Pyongyang confirmed it had nuclear weapons, and threatened to prove it with a ""display.""",meeting,Meet
1076,"""We are studying that plan, we are examining it with our friends and allies,"" Powell said, adding that talks were now underway with the South Korean, Japanese, Russian and Australian as well as other governments.",talks,Meet
1077,"""It was useful to get it all out on the table and see where we go from here,"" he said, referring to the April 23 to 25 discussions in Beijing.",discussions,Meet
1078,"Rodong called for a ""fair and equal"" footing in talks with the United States, blasting Washington for insisting that there would be ""no security of the system nor provision of rewards"" even if Pyongyang gave up its nuclear program.",talks,Meet
1079,"South Korea's ruling party is facing an internal reformist call for dissolving itself to create a new group after a humiliating defeat at last week's by-elections, party officials said Tuesday.",dissolving,End-Org
1080,"The ruling Millennium Democratic Party (MDP), founded by former president Kim Dae-Jung, has suffered declining popularity since President Roh Moo-Hyun took office in February.",founded,Start-Org
1081,"A group of 18 reformist MDP lawmakers, mostly Roh's confidants, demanded late Wednesday that the party be ""constructively dissolved"" to create a new grouping, MDP officials said.",dissolved,End-Org
1082,"Reformist MDP members, however, vowed to launch a preparatory committee next month and to make ""tangible progress"" in the process of forging a new party.",forging,Start-Org
1083,The internal dispute erupted after the MDP lost three parliamentary seats in Thursday's by-elections.,by-elections,Elect
1084,General elections are due in April next year.,elections,Elect
1085,"The Daily Planet Ltd, about to become the first brothel to list on the Australian Stock Exchange, plans to follow up its May Day launching by opening a ""sex Disneyland"" here, the Melbourne-based bordello announced Wednesday.",launching,Start-Org
1086,Chief executive Andrew Harris said the company was likely to abandon plans to acquire a hotel in Sydney's Kings Cross red light district and acquire another property three times the size in a better location.,acquire,Transfer-Ownership
1087,The Daily Planet raised 3.5 million dollars (2.2 million US) in its initial public offering with one of the new 600 shareholders acquiring 1.0 million dollars worth of shares.,acquiring,Transfer-Money
1088,"Renowned Hollywood madam Heidi Fleiss has been flown to Melbourne as guest of honour at Thursday's market debut and, according to Harris, has already played a key role in attracting worldwide media attention to the event.",flown,Transport
1089,"""Prostitution is completely decriminalised in Sydney and we are going to build a monster,"" he said.",build,Start-Org
1090,"""We want a complete one-stop adult venue -- we want a complete adult venue with adult cinemas, adult shops... we have found much bigger premises in a much better location to create a sex Disneyland.""",create,Start-Org
1091,"Beleaguered French media group Vivendi Universal is in advanced negotiations to sell its theme park business to a US firm for around 1.5 billion dollars, the Los Angeles Times said Friday.",sell,Transfer-Ownership
1092,"The report came as the indebted group said it was planning to sell off its US unit Vivendi Universal Entertainment and other assets, to focus on its telecoms activities and its French cable television business.",sell,Transfer-Ownership
1093,The Times said Vivendi Universal was negotiating to sell its flagship theme parks to New York investment firm Blackstone Group as a the first step toward dismantling its entertainment empire.,sell,Transfer-Ownership
1094,"Under the reported plans, Blackstone Group would buy Vivendi's theme park division, including Universal Studios Hollywood, Universal Orlando in Florida and Universal's ownership interests in parks in Spain and Japan, a source close to the negotiations told the paper.",buy,Transfer-Ownership
1095,"Vivendi earlier this week confirmed months of press speculation that it planned to shed its entertainment assets by the end of the year, including its famed Universal movie studio and television assets.",shed,Transfer-Ownership
1096,"Chief executive Jean-Rene Fourtou told shareholders at the group's annual general meeting Tuesday that the sale of Vivendi Universal Entertainment was a major goal for 2003, and that negotiations were already under way.",sale,Transfer-Ownership
1097,A ground-breaking British budget cinema chain launched by the founder of low-cost airline easyJet announced Friday that it had finally acquired some films to show -- just a fortnight before it first opens.,launched,Start-Org
